match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Fulham FC,Manchester United FC,Fulham FC,2026-02-01 14:00:00+00:00,Away Win,0.599145770072937,5.0,0.2,0.399145770072937,1.995728850364685,12.473305314779282,0.599145770072937
Brighton & Hove Albion FC vs Everton FC,Brighton & Hove Albion FC,Everton FC,2026-01-31 15:00:00+00:00,Away Win,0.599145770072937,4.5,0.2222222222222222,0.3769235478507148,1.6961559653282166,12.115399752344404,0.599145770072937
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Away Win,0.42657923698425293,3.6,0.2777777777777778,0.14880145920647514,0.5356852531433105,5.150819741762601,0.42657923698425293
Everton FC vs Leeds United FC,Everton FC,Leeds United FC,2026-01-26 20:00:00+00:00,Home Win,0.581375241279602,2.6,0.3846153846153846,0.19675985666421747,0.5115756273269654,7.993369176983833,0.581375241279602
Liverpool FC vs Newcastle United FC,Liverpool FC,Newcastle United FC,2026-01-31 20:00:00+00:00,Home Win,0.7463911771774292,1.86,0.5376344086021505,0.2087567685752787,0.3882875895500184,11.287429928779604,0.7463911771774292
Crystal Palace FC vs Chelsea FC,Crystal Palace FC,Chelsea FC,2026-01-25 14:00:00+00:00,Draw,0.3422539234161377,3.75,0.26666666666666666,0.07558725674947103,0.28345221281051636,2.5768382982774214,0.42657923698425293
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Draw,0.3422539234161377,3.75,0.26666666666666666,0.07558725674947103,0.28345221281051636,2.5768382982774214,0.42657923698425293
Arsenal FC vs Manchester United FC,Arsenal FC,Manchester United FC,2026-01-25 16:30:00+00:00,Draw,0.28117579221725464,4.5,0.2222222222222222,0.05895356999503243,0.2652910649776459,1.8949361784117564,0.581375241279602
Newcastle United FC vs Aston Villa FC,Newcastle United FC,Aston Villa FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,2.12,0.4716981132075471,0.10717271971252734,0.22720616579055797,5.0715662006820965,0.5788708329200745
Chelsea FC vs West Ham United FC,Chelsea FC,West Ham United FC,2026-01-31 17:30:00+00:00,Home Win,0.7259930968284607,1.57,0.6369426751592356,0.08905042166922505,0.13980916202068333,6.1319807903808465,0.7259930968284607
Brentford FC vs Nottingham Forest FC,Brentford FC,Nottingham Forest FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,1.92,0.5208333333333334,0.05803749958674109,0.1114319992065429,3.0280434566995353,0.5788708329200745
